epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	21.81	None	None	None	None	None	None	None	177.3205	177.3268
1	warmup	warmup	48.51	None	None	None	None	None	None	None	184.5485	361.8854
2	warmup	warmup	68.75	None	None	None	None	None	None	None	185.6419	547.5348
3	warmup	warmup	76.5	None	None	None	None	None	None	None	185.3317	732.8740
4	warmup	warmup	78.77	None	None	None	None	None	None	None	185.1100	917.9918
5	warmup	warmup	77.94	None	None	None	None	None	None	None	184.9082	1102.9121
6	warmup	warmup	73.88	None	None	None	None	None	None	None	185.6272	1288.5469
7	warmup	warmup	68.6	None	None	None	None	None	None	None	185.3520	1473.9065
8	warmup	warmup	63.78	None	None	None	None	None	None	None	184.8775	1658.7917
9	warmup	warmup	60.39	None	None	None	None	None	None	None	185.4156	1844.2150
10	warmup	warmup	58.12	None	None	None	None	None	None	None	184.9134	2029.1362
11	warmup	warmup	55.72	None	None	None	None	None	None	None	185.0436	2214.1874
12	warmup	warmup	53.45	None	None	None	None	None	None	None	184.2523	2398.4474
13	warmup	warmup	54.26	None	None	None	None	None	None	None	187.3580	2585.8134
14	warmup	warmup	53.6	None	None	None	None	None	None	None	185.1681	2770.9898
15	warmup	warmup	51.53	None	None	None	None	None	None	None	185.6135	2956.6127
16	warmup	warmup	51.56	None	None	None	None	None	None	None	185.0365	3141.6574
17	warmup	warmup	51.29	None	None	None	None	None	None	None	184.8082	3326.4734
18	warmup	warmup	51.32	None	None	None	None	None	None	None	185.8270	3512.3082
19	warmup	warmup	50.73	None	None	None	None	None	None	None	232.0374	3744.3536
20	stage_1	0	54.05	53.306	53.306	95.94	79.714	15.953	89.994	0.96	172.4844	3916.8467
21	stage_1	0	53.96	53.306	53.306	95.94	79.714	15.953	89.994	0.96	174.5439	4091.3985
22	stage_1	0	53.7	53.306	53.306	95.94	79.714	15.953	89.994	0.96	174.1848	4265.5914
23	stage_1	0	53.12	53.306	53.306	95.94	79.714	15.953	89.994	0.96	174.3026	4439.9022
24	stage_1	0	52.82	53.306	53.306	95.94	79.714	15.953	89.994	0.96	173.1804	4613.0907
25	stage_1	0	52.93	53.306	53.306	95.94	79.714	15.953	89.994	0.96	174.2833	4787.3824
26	stage_1	0	52.48	53.306	53.306	95.94	79.714	15.953	89.994	0.96	174.2526	4961.6433
27	stage_1	0	52.2	53.306	53.306	95.94	79.714	15.953	89.994	0.96	174.4720	5136.1221
28	stage_1	0	51.87	53.306	53.306	95.94	79.714	15.953	89.994	0.96	173.8945	5310.0246
29	stage_1	0	51.55	53.306	53.306	95.94	79.714	15.953	89.994	0.96	172.8691	5482.9044
30	stage_1	0	51.38	53.306	53.306	95.94	79.714	15.953	89.994	0.96	174.5861	5657.4987
31	stage_1	0	50.98	53.306	53.306	95.94	79.714	15.953	89.994	0.96	174.6238	5832.1331
