epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	19.59	None	None	None	None	None	None	None	178.8206	178.8274
1	warmup	warmup	48.18	None	None	None	None	None	None	None	184.8261	363.6624
2	warmup	warmup	69.22	None	None	None	None	None	None	None	184.9028	548.5740
3	warmup	warmup	76.84	None	None	None	None	None	None	None	186.7643	735.3458
4	warmup	warmup	78.24	None	None	None	None	None	None	None	185.2852	920.6390
5	warmup	warmup	78.06	None	None	None	None	None	None	None	183.4992	1104.1458
6	warmup	warmup	74.66	None	None	None	None	None	None	None	185.0013	1289.1546
7	warmup	warmup	70.64	None	None	None	None	None	None	None	185.4844	1474.6478
8	warmup	warmup	64.22	None	None	None	None	None	None	None	185.4646	1660.1198
9	warmup	warmup	61.69	None	None	None	None	None	None	None	186.2657	1846.3933
10	warmup	warmup	59.02	None	None	None	None	None	None	None	184.7677	2031.1686
11	warmup	warmup	57.59	None	None	None	None	None	None	None	184.8020	2215.9785
12	warmup	warmup	57.22	None	None	None	None	None	None	None	185.6805	2401.6667
13	warmup	warmup	55.22	None	None	None	None	None	None	None	185.3318	2587.0062
14	warmup	warmup	54.83	None	None	None	None	None	None	None	185.8699	2772.8852
15	warmup	warmup	52.83	None	None	None	None	None	None	None	186.3107	2959.2038
16	warmup	warmup	53.27	None	None	None	None	None	None	None	185.3950	3144.6070
17	warmup	warmup	52.42	None	None	None	None	None	None	None	185.0322	3329.6472
18	warmup	warmup	51.86	None	None	None	None	None	None	None	185.7064	3515.3614
19	warmup	warmup	52.3	None	None	None	None	None	None	None	229.0887	3744.4586
20	stage_1	0	55.56	53.01	53.01	95.408	77.053	15.42	89.994	0.961	174.2964	3918.7636
21	stage_1	0	54.99	53.01	53.01	95.408	77.053	15.42	89.994	0.961	176.0818	4094.8539
22	stage_1	0	54.71	53.01	53.01	95.408	77.053	15.42	89.994	0.961	174.8149	4269.6773
23	stage_1	0	54.41	53.01	53.01	95.408	77.053	15.42	89.994	0.961	173.3872	4443.0727
24	stage_1	0	54.39	53.01	53.01	95.408	77.053	15.42	89.994	0.961	173.2330	4616.3138
25	stage_1	0	54.18	53.01	53.01	95.408	77.053	15.42	89.994	0.961	174.3889	4790.7107
26	stage_1	0	53.64	53.01	53.01	95.408	77.053	15.42	89.994	0.961	174.1681	4964.8870
27	stage_1	0	52.45	53.01	53.01	95.408	77.053	15.42	89.994	0.961	174.4133	5139.3083
28	stage_1	0	53.25	53.01	53.01	95.408	77.053	15.42	89.994	0.961	173.9904	5313.3077
29	stage_1	0	51.87	53.01	53.01	95.408	77.053	15.42	89.994	0.961	175.0714	5488.3858
30	stage_1	0	52.66	53.01	53.01	95.408	77.053	15.42	89.994	0.961	174.7986	5663.1925
31	stage_1	0	52.14	53.01	53.01	95.408	77.053	15.42	89.994	0.961	175.0181	5838.2187
32	stage_1	0	51.74	53.01	53.01	95.408	77.053	15.42	89.994	0.961	173.5018	6011.7298
33	stage_1	0	51.78	53.01	53.01	95.408	77.053	15.42	89.994	0.961	174.7458	6186.4839
34	stage_1	0	51.18	53.01	53.01	95.408	77.053	15.42	89.994	0.961	175.9830	6362.4750
35	stage_1	0	50.77	53.01	53.01	95.408	77.053	15.42	89.994	0.961	174.9929	6537.4764
36	stage_1	0	50.78	53.01	53.01	95.408	77.053	15.42	89.994	0.961	175.5516	6713.0364
37	stage_1	0	50.33	53.01	53.01	95.408	77.053	15.42	89.994	0.961	174.6293	6887.6735
38	stage_1	0	50.62	53.01	53.01	95.408	77.053	15.42	89.994	0.961	210.9823	7098.6639
39	stage_2	1	56.19	56.058	56.058	78.474	64.126	38.483	69.996	0.982	138.6151	7237.2882
40	stage_2	1	53.84	56.058	56.058	78.474	64.126	38.483	69.996	0.982	141.4299	7378.7262
41	stage_2	1	52.88	56.058	56.058	78.474	64.126	38.483	69.996	0.982	141.6602	7520.3971
42	stage_2	1	53.12	56.058	56.058	78.474	64.126	38.483	69.996	0.982	141.5620	7661.9697
43	stage_2	1	52.45	56.058	56.058	78.474	64.126	38.483	69.996	0.982	141.3297	7803.3104
44	stage_2	1	52.3	56.058	56.058	78.474	64.126	38.483	69.996	0.982	142.1724	7945.4909
45	stage_2	1	52.99	56.058	56.058	78.474	64.126	38.483	69.996	0.982	142.2305	8087.7295
46	stage_2	1	53.38	56.058	56.058	78.474	64.126	38.483	69.996	0.982	141.4971	8229.2359
47	stage_2	1	52.61	56.058	56.058	78.474	64.126	38.483	69.996	0.982	141.2723	8370.5161
48	stage_2	1	52.73	56.058	56.058	78.474	64.126	38.483	69.996	0.982	141.6868	8512.2106
49	stage_2	1	52.47	56.058	56.058	78.474	64.126	38.483	69.996	0.982	141.0367	8653.2546
