epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	1.0	None	None	None	None	None	None	None	156.2229	156.2292
1	warmup	warmup	1.45	None	None	None	None	None	None	None	165.0465	321.2849
2	warmup	warmup	7.11	None	None	None	None	None	None	None	163.3332	484.6262
3	warmup	warmup	11.95	None	None	None	None	None	None	None	164.1876	648.8230
4	warmup	warmup	14.23	None	None	None	None	None	None	None	162.9673	811.7980
5	warmup	warmup	15.96	None	None	None	None	None	None	None	162.6179	974.4240
6	warmup	warmup	18.03	None	None	None	None	None	None	None	163.2211	1137.6532
7	warmup	warmup	19.91	None	None	None	None	None	None	None	163.3850	1301.0461
8	warmup	warmup	21.47	None	None	None	None	None	None	None	164.7226	1465.7765
9	warmup	warmup	22.42	None	None	None	None	None	None	None	163.1172	1628.9030
10	warmup	warmup	23.91	None	None	None	None	None	None	None	164.5008	1793.4118
11	warmup	warmup	24.81	None	None	None	None	None	None	None	164.3094	1957.7291
12	warmup	warmup	26.03	None	None	None	None	None	None	None	161.4933	2119.2305
13	warmup	warmup	26.69	None	None	None	None	None	None	None	163.8548	2283.0934
14	warmup	warmup	27.64	None	None	None	None	None	None	None	162.3586	2445.4602
15	warmup	warmup	28.29	None	None	None	None	None	None	None	163.4845	2608.9514
16	warmup	warmup	28.92	None	None	None	None	None	None	None	165.2488	2774.2071
17	warmup	warmup	28.98	None	None	None	None	None	None	None	165.1962	2939.4101
18	warmup	warmup	29.21	None	None	None	None	None	None	None	164.2495	3103.6679
19	warmup	warmup	29.55	None	None	None	None	None	None	None	208.1846	3311.8599
