epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	standard	warmup	15.94	None	None	None	None	None	None	None	231.2833	231.2895
1	standard	warmup	21.52	None	None	None	None	None	None	None	233.3252	464.6267
2	standard	warmup	39.76	None	None	None	None	None	None	None	234.3912	699.0315
3	standard	warmup	47.98	None	None	None	None	None	None	None	231.6792	930.7202
4	standard	warmup	51.91	None	None	None	None	None	None	None	233.3052	1164.0344
5	standard	warmup	53.96	None	None	None	None	None	None	None	232.7158	1396.7680
6	standard	warmup	53.03	None	None	None	None	None	None	None	236.0324	1632.8096
7	standard	warmup	47.09	None	None	None	None	None	None	None	232.6553	1865.4757
8	standard	warmup	37.25	None	None	None	None	None	None	None	233.8078	2099.2949
9	standard	warmup	33.42	None	None	None	None	None	None	None	230.3022	2329.6075
10	standard	warmup	29.14	None	None	None	None	None	None	None	236.9001	2566.5170
11	standard	warmup	28.13	None	None	None	None	None	None	None	220.5876	2787.1144
12	standard	warmup	25.86	None	None	None	None	None	None	None	232.8828	3020.0063
13	standard	warmup	25.55	None	None	None	None	None	None	None	235.0612	3255.0780
14	standard	warmup	25.45	None	None	None	None	None	None	None	232.3851	3487.4770
15	standard	warmup	24.89	None	None	None	None	None	None	None	232.6947	3720.1807
16	standard	warmup	24.17	None	None	None	None	None	None	None	231.3155	3951.5063
17	standard	warmup	24.9	None	None	None	None	None	None	None	233.4601	4184.9765
18	standard	warmup	24.66	None	None	None	None	None	None	None	231.2483	4416.2341
19	standard	warmup	24.92	None	None	None	None	None	None	None	232.7657	4649.0103
20	standard	warmup	24.65	None	None	None	None	None	None	None	234.6076	4883.6325
21	standard	warmup	24.45	None	None	None	None	None	None	None	231.6715	5115.3137
22	standard	warmup	24.98	None	None	None	None	None	None	None	231.2236	5346.5465
23	standard	warmup	24.72	None	None	None	None	None	None	None	230.4941	5577.0509
24	standard	warmup	24.54	None	None	None	None	None	None	None	232.6871	5809.7482
25	standard	warmup	24.25	None	None	None	None	None	None	None	230.6329	6040.3914
26	standard	warmup	23.85	None	None	None	None	None	None	None	232.9497	6273.3537
27	standard	warmup	23.77	None	None	None	None	None	None	None	231.2772	6504.6419
28	standard	warmup	23.56	None	None	None	None	None	None	None	234.8574	6739.5269
29	standard	warmup	23.72	None	None	None	None	None	None	None	232.5840	6972.1216
30	standard	warmup	23.82	None	None	None	None	None	None	None	234.6247	7206.7560
31	standard	warmup	24.16	None	None	None	None	None	None	None	233.4049	7440.1708
32	standard	warmup	23.24	None	None	None	None	None	None	None	232.6692	7672.8506
33	standard	warmup	23.19	None	None	None	None	None	None	None	232.3497	7905.2098
34	standard	warmup	23.18	None	None	None	None	None	None	None	231.4411	8136.6604
35	standard	warmup	23.04	None	None	None	None	None	None	None	232.0661	8368.7362
36	standard	warmup	23.09	None	None	None	None	None	None	None	232.8939	8601.6412
37	standard	warmup	23.24	None	None	None	None	None	None	None	233.4806	8835.1914
38	standard	warmup	23.27	None	None	None	None	None	None	None	232.8427	9068.0453
39	standard	warmup	23.11	None	None	None	None	None	None	None	231.9976	9300.0547
40	standard	warmup	22.96	None	None	None	None	None	None	None	229.8985	9529.9647
41	standard	warmup	23.11	None	None	None	None	None	None	None	233.4248	9763.3989
42	standard	warmup	23.26	None	None	None	None	None	None	None	233.0078	9996.4175
43	standard	warmup	23.26	None	None	None	None	None	None	None	230.2367	10226.6637
44	standard	warmup	23.9	None	None	None	None	None	None	None	230.4217	10457.0947
