========================================================================================================================
Training started at: 2026-04-10 08:02:51
Result directory: results/fl_cifar10/fedrdn/pm-dir_a-0.3_nm-uni_nr-0.5_nt-symmetric_std-0.01_eps-1e-06
Result txt file : results/fl_cifar10/fedrdn/pm-dir_a-0.3_nm-uni_nr-0.5_nt-symmetric_std-0.01_eps-1e-06/fedrdn_fl_cifar10_20260410-080251-091024_pid3660547.txt
Result log file : results/fl_cifar10/fedrdn/pm-dir_a-0.3_nm-uni_nr-0.5_nt-symmetric_std-0.01_eps-1e-06/fedrdn_fl_cifar10_20260410-080251-091024_pid3660547.log
------------------------------------------------------------------------------------------------------------------------
Model: fedrdn
Dataset: fl_cifar10
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 100
Local epoch: 5
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.5
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedRDN std: 0.01
FedRDN eps: 1e-06
========================================================================================================================
[Round 001/100] Phase=standard | Stage=warmup | Acc=10.000 | RoundTime=174.90s | TotalTime=174.90s | Method=fedrdn
[Round 002/100] Phase=standard | Stage=warmup | Acc=20.200 | RoundTime=158.66s | TotalTime=333.57s | Method=fedrdn
[Round 003/100] Phase=standard | Stage=warmup | Acc=34.660 | RoundTime=161.12s | TotalTime=494.70s | Method=fedrdn
[Round 004/100] Phase=standard | Stage=warmup | Acc=41.760 | RoundTime=160.34s | TotalTime=655.05s | Method=fedrdn
[Round 005/100] Phase=standard | Stage=warmup | Acc=44.330 | RoundTime=159.76s | TotalTime=814.82s | Method=fedrdn
[Round 006/100] Phase=standard | Stage=warmup | Acc=48.180 | RoundTime=160.81s | TotalTime=975.64s | Method=fedrdn
[Round 007/100] Phase=standard | Stage=warmup | Acc=50.390 | RoundTime=157.78s | TotalTime=1133.43s | Method=fedrdn
[Round 008/100] Phase=standard | Stage=warmup | Acc=52.710 | RoundTime=161.31s | TotalTime=1294.75s | Method=fedrdn
[Round 009/100] Phase=standard | Stage=warmup | Acc=54.320 | RoundTime=157.94s | TotalTime=1452.70s | Method=fedrdn
[Round 010/100] Phase=standard | Stage=warmup | Acc=55.730 | RoundTime=160.21s | TotalTime=1612.92s | Method=fedrdn
[Round 011/100] Phase=standard | Stage=warmup | Acc=56.630 | RoundTime=159.51s | TotalTime=1772.43s | Method=fedrdn
[Round 012/100] Phase=standard | Stage=warmup | Acc=58.320 | RoundTime=159.02s | TotalTime=1931.46s | Method=fedrdn
[Round 013/100] Phase=standard | Stage=warmup | Acc=58.870 | RoundTime=159.54s | TotalTime=2091.00s | Method=fedrdn
[Round 014/100] Phase=standard | Stage=warmup | Acc=60.000 | RoundTime=159.50s | TotalTime=2250.52s | Method=fedrdn
[Round 015/100] Phase=standard | Stage=warmup | Acc=60.900 | RoundTime=160.78s | TotalTime=2411.30s | Method=fedrdn
[Round 016/100] Phase=standard | Stage=warmup | Acc=61.070 | RoundTime=158.93s | TotalTime=2570.24s | Method=fedrdn
[Round 017/100] Phase=standard | Stage=warmup | Acc=61.930 | RoundTime=159.30s | TotalTime=2729.55s | Method=fedrdn
[Round 018/100] Phase=standard | Stage=warmup | Acc=62.850 | RoundTime=161.70s | TotalTime=2891.25s | Method=fedrdn
[Round 019/100] Phase=standard | Stage=warmup | Acc=62.210 | RoundTime=161.96s | TotalTime=3053.21s | Method=fedrdn
[Round 020/100] Phase=standard | Stage=warmup | Acc=64.490 | RoundTime=159.31s | TotalTime=3212.53s | Method=fedrdn
[Round 021/100] Phase=standard | Stage=warmup | Acc=64.130 | RoundTime=160.40s | TotalTime=3372.93s | Method=fedrdn
[Round 022/100] Phase=standard | Stage=warmup | Acc=64.390 | RoundTime=160.37s | TotalTime=3533.31s | Method=fedrdn
[Round 023/100] Phase=standard | Stage=warmup | Acc=65.650 | RoundTime=158.71s | TotalTime=3692.03s | Method=fedrdn
[Round 024/100] Phase=standard | Stage=warmup | Acc=65.940 | RoundTime=159.78s | TotalTime=3851.82s | Method=fedrdn
[Round 025/100] Phase=standard | Stage=warmup | Acc=65.380 | RoundTime=160.08s | TotalTime=4011.91s | Method=fedrdn
[Round 026/100] Phase=standard | Stage=warmup | Acc=66.100 | RoundTime=163.80s | TotalTime=4175.71s | Method=fedrdn
[Round 027/100] Phase=standard | Stage=warmup | Acc=66.070 | RoundTime=159.91s | TotalTime=4335.63s | Method=fedrdn
[Round 028/100] Phase=standard | Stage=warmup | Acc=65.690 | RoundTime=159.52s | TotalTime=4495.16s | Method=fedrdn
[Round 029/100] Phase=standard | Stage=warmup | Acc=66.200 | RoundTime=162.05s | TotalTime=4657.22s | Method=fedrdn
[Round 030/100] Phase=standard | Stage=warmup | Acc=65.230 | RoundTime=159.12s | TotalTime=4816.34s | Method=fedrdn
[Round 031/100] Phase=standard | Stage=warmup | Acc=66.500 | RoundTime=160.16s | TotalTime=4976.52s | Method=fedrdn
[Round 032/100] Phase=standard | Stage=warmup | Acc=65.640 | RoundTime=158.98s | TotalTime=5135.51s | Method=fedrdn
[Round 033/100] Phase=standard | Stage=warmup | Acc=65.400 | RoundTime=160.53s | TotalTime=5296.04s | Method=fedrdn
[Round 034/100] Phase=standard | Stage=warmup | Acc=64.590 | RoundTime=159.55s | TotalTime=5455.60s | Method=fedrdn
[Round 035/100] Phase=standard | Stage=warmup | Acc=64.590 | RoundTime=152.16s | TotalTime=5607.77s | Method=fedrdn
[Round 036/100] Phase=standard | Stage=warmup | Acc=64.760 | RoundTime=160.41s | TotalTime=5768.20s | Method=fedrdn
[Round 037/100] Phase=standard | Stage=warmup | Acc=64.000 | RoundTime=158.57s | TotalTime=5926.77s | Method=fedrdn
[Round 038/100] Phase=standard | Stage=warmup | Acc=63.610 | RoundTime=160.60s | TotalTime=6087.38s | Method=fedrdn
[Round 039/100] Phase=standard | Stage=warmup | Acc=62.880 | RoundTime=158.45s | TotalTime=6245.84s | Method=fedrdn
[Round 040/100] Phase=standard | Stage=warmup | Acc=62.930 | RoundTime=157.70s | TotalTime=6403.54s | Method=fedrdn
[Round 041/100] Phase=standard | Stage=warmup | Acc=61.540 | RoundTime=158.85s | TotalTime=6562.40s | Method=fedrdn
[Round 042/100] Phase=standard | Stage=warmup | Acc=60.990 | RoundTime=157.65s | TotalTime=6720.05s | Method=fedrdn
[Round 043/100] Phase=standard | Stage=warmup | Acc=61.190 | RoundTime=160.69s | TotalTime=6880.75s | Method=fedrdn
[Round 044/100] Phase=standard | Stage=warmup | Acc=60.930 | RoundTime=158.04s | TotalTime=7038.81s | Method=fedrdn
[Round 045/100] Phase=standard | Stage=warmup | Acc=61.010 | RoundTime=158.83s | TotalTime=7197.64s | Method=fedrdn
[Round 046/100] Phase=standard | Stage=warmup | Acc=59.650 | RoundTime=157.79s | TotalTime=7355.44s | Method=fedrdn
[Round 047/100] Phase=standard | Stage=warmup | Acc=59.410 | RoundTime=157.66s | TotalTime=7513.10s | Method=fedrdn
[Round 048/100] Phase=standard | Stage=warmup | Acc=59.100 | RoundTime=161.24s | TotalTime=7674.34s | Method=fedrdn
[Round 049/100] Phase=standard | Stage=warmup | Acc=59.100 | RoundTime=156.75s | TotalTime=7831.10s | Method=fedrdn
[Round 050/100] Phase=standard | Stage=warmup | Acc=58.000 | RoundTime=158.83s | TotalTime=7989.94s | Method=fedrdn
