epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	19.59	None	None	None	None	None	None	None	162.5129	162.5199
1	warmup	warmup	11.36	None	None	None	None	None	None	None	185.6887	348.2177
2	warmup	warmup	40.9	None	None	None	None	None	None	None	184.4903	532.7173
3	warmup	warmup	44.64	None	None	None	None	None	None	None	184.3614	717.0896
4	warmup	warmup	52.19	None	None	None	None	None	None	None	185.5001	902.5988
5	warmup	warmup	55.6	None	None	None	None	None	None	None	186.0291	1088.6370
6	warmup	warmup	54.52	None	None	None	None	None	None	None	183.9781	1272.6261
7	warmup	warmup	47.98	None	None	None	None	None	None	None	184.0199	1456.6562
8	warmup	warmup	40.14	None	None	None	None	None	None	None	184.1408	1640.8060
9	warmup	warmup	35.44	None	None	None	None	None	None	None	185.2862	1826.1010
10	warmup	warmup	31.52	None	None	None	None	None	None	None	185.9450	2012.0568
11	warmup	warmup	29.35	None	None	None	None	None	None	None	185.2041	2197.2715
12	warmup	warmup	27.65	None	None	None	None	None	None	None	184.1480	2381.4289
13	warmup	warmup	25.9	None	None	None	None	None	None	None	184.6768	2566.1149
14	warmup	warmup	26.13	None	None	None	None	None	None	None	183.8849	2750.0090
15	warmup	warmup	24.97	None	None	None	None	None	None	None	185.0641	2935.0811
16	warmup	warmup	25.77	None	None	None	None	None	None	None	186.3375	3121.4263
17	warmup	warmup	25.5	None	None	None	None	None	None	None	182.9759	3304.4098
18	warmup	warmup	25.47	None	None	None	None	None	None	None	185.6850	3490.1025
19	warmup	warmup	25.59	None	None	None	None	None	None	None	283.1919	3773.3023
20	stage_1	0	26.94	49.077	49.077	88.329	41.678	8.341	89.994	0.956	172.7406	3946.0520
21	stage_1	0	26.06	49.077	49.077	88.329	41.678	8.341	89.994	0.956	174.1912	4120.2515
22	stage_1	0	26.34	49.077	49.077	88.329	41.678	8.341	89.994	0.956	175.0040	4295.2637
23	stage_1	0	25.75	49.077	49.077	88.329	41.678	8.341	89.994	0.956	172.5215	4467.7932
24	stage_1	0	25.99	49.077	49.077	88.329	41.678	8.341	89.994	0.956	174.7757	4642.5794
25	stage_1	0	25.81	49.077	49.077	88.329	41.678	8.341	89.994	0.956	175.3758	4817.9625
26	stage_1	0	25.25	49.077	49.077	88.329	41.678	8.341	89.994	0.956	174.0884	4992.0595
27	stage_1	0	24.9	49.077	49.077	88.329	41.678	8.341	89.994	0.956	175.5050	5167.5725
28	stage_1	0	25.16	49.077	49.077	88.329	41.678	8.341	89.994	0.956	176.5420	5344.1230
29	stage_1	0	25.53	49.077	49.077	88.329	41.678	8.341	89.994	0.956	174.4198	5518.5513
30	stage_1	0	24.96	49.077	49.077	88.329	41.678	8.341	89.994	0.956	175.2334	5693.7941
31	stage_1	0	25.32	49.077	49.077	88.329	41.678	8.341	89.994	0.956	175.9432	5869.7455
32	stage_1	0	24.79	49.077	49.077	88.329	41.678	8.341	89.994	0.956	172.8791	6042.6330
33	stage_1	0	24.55	49.077	49.077	88.329	41.678	8.341	89.994	0.956	175.4081	6218.0492
34	stage_1	0	25.13	49.077	49.077	88.329	41.678	8.341	89.994	0.956	174.0071	6392.0673
35	stage_1	0	25.07	49.077	49.077	88.329	41.678	8.341	89.994	0.956	175.7851	6567.8606
36	stage_1	0	25.12	49.077	49.077	88.329	41.678	8.341	89.994	0.956	174.1423	6742.0125
37	stage_1	0	24.83	49.077	49.077	88.329	41.678	8.341	89.994	0.956	174.5175	6916.5383
38	stage_1	0	24.6	49.077	49.077	88.329	41.678	8.341	89.994	0.956	269.9649	7186.5117
39	stage_2	1	24.94	40.8	40.8	57.114	28.53	17.121	69.996	0.979	142.5212	7329.0438
40	stage_2	1	24.87	40.8	40.8	57.114	28.53	17.121	69.996	0.979	141.0785	7470.1309
41	stage_2	1	25.01	40.8	40.8	57.114	28.53	17.121	69.996	0.979	141.6268	7611.7657
42	stage_2	1	24.64	40.8	40.8	57.114	28.53	17.121	69.996	0.979	141.9671	7753.7407
43	stage_2	1	24.58	40.8	40.8	57.114	28.53	17.121	69.996	0.979	141.1642	7894.9122
44	stage_2	1	24.41	40.8	40.8	57.114	28.53	17.121	69.996	0.979	141.4442	8036.3630
