epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	1.0	None	None	None	None	None	None	None	126.4030	126.4100
1	warmup	warmup	1.58	None	None	None	None	None	None	None	125.6900	252.1095
2	warmup	warmup	6.99	None	None	None	None	None	None	None	125.1462	377.2639
3	warmup	warmup	9.14	None	None	None	None	None	None	None	125.2916	502.5636
4	warmup	warmup	12.55	None	None	None	None	None	None	None	127.0613	629.6332
5	warmup	warmup	13.74	None	None	None	None	None	None	None	124.5873	754.2301
6	warmup	warmup	15.35	None	None	None	None	None	None	None	124.5163	878.7548
7	warmup	warmup	16.53	None	None	None	None	None	None	None	125.1813	1003.9444
8	warmup	warmup	16.72	None	None	None	None	None	None	None	125.1818	1129.1343
9	warmup	warmup	18.61	None	None	None	None	None	None	None	124.9438	1254.0866
10	warmup	warmup	20.15	None	None	None	None	None	None	None	124.8205	1378.9168
11	warmup	warmup	20.48	None	None	None	None	None	None	None	124.1603	1503.0854
12	warmup	warmup	21.98	None	None	None	None	None	None	None	126.5203	1629.6141
13	warmup	warmup	22.51	None	None	None	None	None	None	None	124.9035	1754.5259
14	warmup	warmup	23.73	None	None	None	None	None	None	None	125.3231	1879.8572
15	warmup	warmup	25.56	None	None	None	None	None	None	None	127.6309	2007.4961
16	warmup	warmup	24.99	None	None	None	None	None	None	None	126.9502	2134.4543
17	warmup	warmup	25.47	None	None	None	None	None	None	None	125.4464	2259.9092
18	warmup	warmup	25.66	None	None	None	None	None	None	None	127.5788	2387.4965
19	warmup	warmup	27.6	None	None	None	None	None	None	None	153.2603	2540.7693
20	stage_1	0	27.37	50.071	50.071	90.128	50.64	10.128	90.0	0.99	118.4944	2659.2726
21	stage_1	0	27.8	50.071	50.071	90.128	50.64	10.128	90.0	0.99	117.7023	2776.9832
22	stage_1	0	27.61	50.071	50.071	90.128	50.64	10.128	90.0	0.99	117.0854	2894.0770
23	stage_1	0	27.28	50.071	50.071	90.128	50.64	10.128	90.0	0.99	117.7283	3011.8148
24	stage_1	0	28.32	50.071	50.071	90.128	50.64	10.128	90.0	0.99	117.7244	3129.5476
25	stage_1	0	28.6	50.071	50.071	90.128	50.64	10.128	90.0	0.99	117.8492	3247.4068
26	stage_1	0	28.17	50.071	50.071	90.128	50.64	10.128	90.0	0.99	117.7058	3365.1213
27	stage_1	0	28.87	50.071	50.071	90.128	50.64	10.128	90.0	0.99	117.4336	3482.5622
28	stage_1	0	29.63	50.071	50.071	90.128	50.64	10.128	90.0	0.99	117.1940	3599.7646
29	stage_1	0	29.63	50.071	50.071	90.128	50.64	10.128	90.0	0.99	118.8286	3718.6027
30	stage_1	0	29.26	50.071	50.071	90.128	50.64	10.128	90.0	0.99	120.1964	3838.8077
