epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	10.0	None	None	None	None	None	None	None	126.2052	126.2111
1	warmup	warmup	27.83	None	None	None	None	None	None	None	123.9984	250.2194
2	warmup	warmup	37.71	None	None	None	None	None	None	None	123.7753	374.0034
3	warmup	warmup	41.19	None	None	None	None	None	None	None	125.2588	499.2736
4	warmup	warmup	44.53	None	None	None	None	None	None	None	125.0413	624.3251
5	warmup	warmup	47.29	None	None	None	None	None	None	None	124.3324	748.6678
6	warmup	warmup	48.97	None	None	None	None	None	None	None	147.2753	895.9543
7	warmup	warmup	51.13	None	None	None	None	None	None	None	146.5820	1042.5474
8	warmup	warmup	51.91	None	None	None	None	None	None	None	146.8261	1189.3838
9	warmup	warmup	53.05	None	None	None	None	None	None	None	151.0833	1340.4776
10	warmup	warmup	53.93	None	None	None	None	None	None	None	144.6316	1485.1214
11	warmup	warmup	55.04	None	None	None	None	None	None	None	149.8671	1635.0009
12	warmup	warmup	55.57	None	None	None	None	None	None	None	130.0667	1765.0794
13	warmup	warmup	56.11	None	None	None	None	None	None	None	124.4918	1889.5775
14	warmup	warmup	56.34	None	None	None	None	None	None	None	124.9002	2014.4882
15	warmup	warmup	57.26	None	None	None	None	None	None	None	127.2069	2141.7054
16	warmup	warmup	57.4	None	None	None	None	None	None	None	124.2411	2265.9582
17	warmup	warmup	57.86	None	None	None	None	None	None	None	124.1157	2390.0868
18	warmup	warmup	58.12	None	None	None	None	None	None	None	125.4673	2515.5650
19	warmup	warmup	58.22	None	None	None	None	None	None	None	159.5829	2675.1592
20	stage_1	0	60.17	54.116	54.116	97.408	87.04	17.408	90.0	0.981	122.6633	2797.8296
21	stage_1	0	62.6	54.116	54.116	97.408	87.04	17.408	90.0	0.981	120.4100	2918.2514
22	stage_1	0	63.54	54.116	54.116	97.408	87.04	17.408	90.0	0.981	122.8887	3041.1510
23	stage_1	0	62.92	54.116	54.116	97.408	87.04	17.408	90.0	0.981	121.3629	3162.5250
24	stage_1	0	63.42	54.116	54.116	97.408	87.04	17.408	90.0	0.981	121.3423	3283.8769
25	stage_1	0	64.36	54.116	54.116	97.408	87.04	17.408	90.0	0.981	118.9164	3402.8025
26	stage_1	0	64.61	54.116	54.116	97.408	87.04	17.408	90.0	0.981	121.4487	3524.2594
27	stage_1	0	64.03	54.116	54.116	97.408	87.04	17.408	90.0	0.981	120.2014	3644.4699
28	stage_1	0	63.55	54.116	54.116	97.408	87.04	17.408	90.0	0.981	120.8750	3765.3545
29	stage_1	0	63.28	54.116	54.116	97.408	87.04	17.408	90.0	0.981	120.7481	3886.1205
30	stage_1	0	63.57	54.116	54.116	97.408	87.04	17.408	90.0	0.981	121.2139	4007.3426
31	stage_1	0	63.93	54.116	54.116	97.408	87.04	17.408	90.0	0.981	120.8307	4128.1837
32	stage_1	0	63.28	54.116	54.116	97.408	87.04	17.408	90.0	0.981	120.0831	4248.2734
33	stage_1	0	62.86	54.116	54.116	97.408	87.04	17.408	90.0	0.981	120.8410	4369.1217
34	stage_1	0	62.69	54.116	54.116	97.408	87.04	17.408	90.0	0.981	122.2313	4491.3618
35	stage_1	0	62.74	54.116	54.116	97.408	87.04	17.408	90.0	0.981	122.0619	4613.4401
36	stage_1	0	62.39	54.116	54.116	97.408	87.04	17.408	90.0	0.981	121.9167	4735.3649
37	stage_1	0	61.55	54.116	54.116	97.408	87.04	17.408	90.0	0.981	119.9773	4855.3510
38	stage_1	0	61.75	54.116	54.116	97.408	87.04	17.408	90.0	0.981	120.1586	4975.5169
39	stage_1	0	61.41	54.116	54.116	97.408	87.04	17.408	90.0	0.981	121.4080	5096.9332
40	stage_1	0	61.28	54.116	54.116	97.408	87.04	17.408	90.0	0.981	121.7560	5218.6972
