epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	standard	warmup	19.59	None	None	None	None	None	None	None	217.3209	217.3275
1	standard	warmup	49.64	None	None	None	None	None	None	None	206.0188	423.3525
2	standard	warmup	69.13	None	None	None	None	None	None	None	204.7888	628.1528
3	standard	warmup	76.76	None	None	None	None	None	None	None	205.2316	833.3912
4	standard	warmup	77.8	None	None	None	None	None	None	None	205.4938	1038.8920
5	standard	warmup	76.84	None	None	None	None	None	None	None	206.1379	1245.0425
6	standard	warmup	73.59	None	None	None	None	None	None	None	207.2278	1452.2811
7	standard	warmup	69.06	None	None	None	None	None	None	None	205.8798	1658.1727
8	standard	warmup	63.35	None	None	None	None	None	None	None	204.5291	1862.7119
9	standard	warmup	60.63	None	None	None	None	None	None	None	204.1565	2066.8812
10	standard	warmup	57.87	None	None	None	None	None	None	None	203.5357	2270.4284
11	standard	warmup	56.96	None	None	None	None	None	None	None	205.9221	2476.3610
12	standard	warmup	55.22	None	None	None	None	None	None	None	207.6360	2684.0044
13	standard	warmup	54.53	None	None	None	None	None	None	None	207.1625	2891.1785
14	standard	warmup	52.71	None	None	None	None	None	None	None	206.1481	3097.3340
15	standard	warmup	52.5	None	None	None	None	None	None	None	205.6350	3302.9765
16	standard	warmup	52.58	None	None	None	None	None	None	None	204.8759	3507.8598
17	standard	warmup	51.93	None	None	None	None	None	None	None	206.1292	3713.9994
18	standard	warmup	51.31	None	None	None	None	None	None	None	205.6687	3919.6793
19	standard	warmup	51.25	None	None	None	None	None	None	None	204.9370	4124.6266
20	standard	warmup	51.09	None	None	None	None	None	None	None	203.7536	4328.3877
21	standard	warmup	50.72	None	None	None	None	None	None	None	208.4669	4536.8648
22	standard	warmup	50.72	None	None	None	None	None	None	None	203.8488	4740.7250
23	standard	warmup	50.68	None	None	None	None	None	None	None	205.5204	4946.2568
24	standard	warmup	50.42	None	None	None	None	None	None	None	203.7733	5150.0413
25	standard	warmup	50.57	None	None	None	None	None	None	None	204.5129	5354.5653
26	standard	warmup	50.19	None	None	None	None	None	None	None	206.0508	5560.6283
27	standard	warmup	49.33	None	None	None	None	None	None	None	206.7383	5767.3787
28	standard	warmup	49.15	None	None	None	None	None	None	None	205.4752	5972.8654
29	standard	warmup	48.99	None	None	None	None	None	None	None	205.4398	6178.3174
30	standard	warmup	48.57	None	None	None	None	None	None	None	204.5477	6382.8756
31	standard	warmup	48.48	None	None	None	None	None	None	None	206.0901	6588.9761
32	standard	warmup	48.58	None	None	None	None	None	None	None	203.3023	6792.2890
33	standard	warmup	47.35	None	None	None	None	None	None	None	205.0171	6997.3169
34	standard	warmup	47.21	None	None	None	None	None	None	None	204.0503	7201.3779
35	standard	warmup	47.15	None	None	None	None	None	None	None	204.5411	7405.9311
36	standard	warmup	46.99	None	None	None	None	None	None	None	204.3089	7610.2517
37	standard	warmup	46.82	None	None	None	None	None	None	None	204.3394	7814.6021
38	standard	warmup	46.74	None	None	None	None	None	None	None	203.5570	8018.1710
39	standard	warmup	46.73	None	None	None	None	None	None	None	204.2924	8222.4753
40	standard	warmup	46.5	None	None	None	None	None	None	None	204.6696	8427.1551
41	standard	warmup	45.9	None	None	None	None	None	None	None	205.5263	8632.6931
42	standard	warmup	45.47	None	None	None	None	None	None	None	205.1243	8837.8292
43	standard	warmup	46.14	None	None	None	None	None	None	None	203.7170	9041.5579
44	standard	warmup	45.48	None	None	None	None	None	None	None	203.8893	9245.4587
45	standard	warmup	45.45	None	None	None	None	None	None	None	205.7471	9451.2164
46	standard	warmup	45.39	None	None	None	None	None	None	None	203.7730	9654.9999
47	standard	warmup	44.97	None	None	None	None	None	None	None	205.1348	9860.1459
48	standard	warmup	45.36	None	None	None	None	None	None	None	205.1106	10065.2673
49	standard	warmup	45.66	None	None	None	None	None	None	None	205.4090	10270.6906
50	standard	warmup	45.19	None	None	None	None	None	None	None	203.9976	10474.6990
51	standard	warmup	45.54	None	None	None	None	None	None	None	204.7790	10679.4899
52	standard	warmup	44.53	None	None	None	None	None	None	None	203.5319	10883.0336
53	standard	warmup	45.54	None	None	None	None	None	None	None	206.3139	11089.3583
54	standard	warmup	45.23	None	None	None	None	None	None	None	205.8861	11295.2568
55	standard	warmup	45.1	None	None	None	None	None	None	None	205.6275	11500.8965
56	standard	warmup	44.9	None	None	None	None	None	None	None	203.9376	11704.8450
57	standard	warmup	44.94	None	None	None	None	None	None	None	203.8180	11908.6712
58	standard	warmup	45.04	None	None	None	None	None	None	None	207.2656	12115.9438
59	standard	warmup	44.25	None	None	None	None	None	None	None	204.8153	12320.7662
